J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time,source_file,solver,resolved_before_SAT,SAT_identifiable,SAT_nonidentifiable,direct_identity_branch,two_col_branch,three_col_branch
50,5,10,0.3,78,4,0.000149480998516,7.354607805609703e-05,0.0001052839215844,0.0001278240233659,0.0001252570655196,0.0,5,0.0005867981817573,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005813920870423,0.0005361270159482,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,5,0.0001504002138972,7.549906149506569e-05,0.0001047309488058,0.0001324890181422,0.0001189741306006,0.0,5,0.0005881311371922,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000582093372941,0.0005215581040829,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,6,0.0001469259150326,7.391604594886303e-05,0.0001248919870704,0.0001326571218669,0.0001141359098255,0.0,5,0.0005989570636302,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005925269797444,0.000530530931428,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,7,0.0001490151043981,7.121707312762737e-05,0.0001029598060995,0.0001336839050054,0.000114913797006,0.0,5,0.0005762060172855,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005717896856367,0.0005200610030442,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,8,0.0001397079322487,6.491690874099731e-05,0.0001061549410223,0.0001314291730523,0.0001077430788427,0.0,5,0.0005549089983105,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005499520339071,0.0005339679773896,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,78,9,0.0001370611134916,6.975699216127396e-05,0.0001059228088706,0.0001279870048165,0.0001067910343408,0.0,5,0.0005533990915864,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005475189536809,0.0005265159998089,solver1_J50_K5_p0.3_seed78_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,0,0.0001274559181183,0.0001048420090228,0.0001078371424227,0.0001511799637228,0.0001286149490624,0.0,5,0.0006250240840017,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006199299823492,0.0005418069195002,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,1,0.0001225161831825,7.323594763875008e-05,0.0001032331492751,0.0001212591305375,8.909800089895725e-05,0.0,5,0.0005133030936121,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005093424115329,0.0004959090147167,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,2,0.0001367488875985,6.023189052939415e-05,9.911507368087769e-05,0.0001173049677163,7.643806748092175e-05,0.0,5,0.0004932500887662,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000489838887006,0.0004921280778944,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,3,0.0001759671140462,5.900696851313114e-05,9.873905219137669e-05,0.0001237248070538,7.704319432377815e-05,0.0,5,0.0005380220245569,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005344811361283,0.0004865210503339,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,4,0.0001239329576492,5.497690290212631e-05,9.91648994386196e-05,0.0001157778315246,6.99430238455534e-05,0.0,5,0.000467071076855,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004637956153601,0.0004940829239785,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,5,0.0001275469549,5.433708429336548e-05,9.769713506102562e-05,0.0001164500135928,7.061404176056385e-05,0.0,5,0.0004699330311268,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004666452296078,0.0004883271176367,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,6,0.000120302895084,5.554012022912502e-05,9.776302613317966e-05,0.0001242670696228,7.135793566703796e-05,0.0,5,0.0004726168699562,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004692310467362,0.000487555982545,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,7,0.0001135990023612,5.599809810519218e-05,9.724101983010768e-05,0.000115776900202,7.040495984256268e-05,0.0,5,0.0004561950918287,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004530199803411,0.0005130341742187,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,8,0.0001276608090847,5.458691157400608e-05,9.873905219137669e-05,0.0001169878523796,7.00571108609438e-05,0.0,5,0.0004712510854005,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004680317360907,0.0004877231549471,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,79,9,0.000119148986414,5.488889291882515e-05,9.684078395366667e-05,0.000124281970784,7.051299326121807e-05,0.0,5,0.0004689979832619,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004656736273318,0.0004819720052182,solver1_J50_K5_p0.3_seed79_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,0,0.0001527790445834,8.781813085079193e-05,0.0001247271429747,0.0001382520422339,0.0001224018633365,0.0028212259057909,7,0.0034527007956057,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,30,0.0006259782239794,0.0005967710167169,solver1_J50_K5_p0.3_seed7_diag.csv,1,0,1,0,0,0,0
50,5,10,0.3,7,1,0.000108506064862,5.061808042228222e-05,8.804886601865292e-05,0.0001290258951485,7.380405440926552e-05,0.0,5,0.0004534709732979,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004500029608607,0.000499318819493,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
50,5,10,0.3,7,2,0.000102869933471,4.881015047430992e-05,8.67871567606926e-05,0.0001240791752934,7.143989205360413e-05,0.0,5,0.0004372289404273,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004339863080531,0.0004906179383397,solver1_J50_K5_p0.3_seed7_diag.csv,1,1,0,0,1,0,0
