design,J,K,p,m,n,expected_n,n_identifiable,pct_identifiable,n_complete,pct_complete,n_two_column,pct_two_column,n_both_necessary,pct_both_necessary,n_no_pure_nodes,pct_no_pure_nodes,n_sat_called,pct_sat_called,conditional_denominator_identifiable,n_incomplete_given_identifiable,pct_incomplete_given_identifiable,n_no_pure_given_identifiable,pct_no_pure_given_identifiable,sum_J_basis,mean_J_basis,sum_basis_time,mean_basis_time,sum_identity_check_time,mean_identity_check_time,sum_two_col_check_time,mean_two_col_check_time,sum_three_col_check_time,mean_three_col_check_time,sum_sat_time,mean_sat_time,sum_preprocess_time,mean_preprocess_time,sum_algorithm_time,mean_algorithm_time,branch_counts
bernoulli,50,10,0.3,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,0,0.0,10,100.0,10,10,100.0,0,0.0,276,27.6,0.009087434969842434,0.0009087434969842434,0.0010848427191376686,0.00010848427191376687,0.01291699055582285,0.001291699055582285,0.010423554107546806,0.0010423554107546807,0.1994462888687849,0.01994462888687849,0.03351282235234976,0.0033512822352349757,0.23304220754653215,0.023304220754653215,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,50,10,0.5,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,5,50.0,10,100.0,10,10,100.0,5,50.0,339,33.9,0.011218736879527569,0.0011218736879527568,0.0013851402327418327,0.00013851402327418326,0.016246837563812733,0.0016246837563812732,0.014338571578264236,0.0014338571578264236,0.4212211798876524,0.04212211798876524,0.04318928625434637,0.004318928625434637,0.4645397961139679,0.04645397961139679,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,50,10,0.7,,10,10,9,90.0,0,0.0,10,100.0,10,100.0,10,100.0,10,100.0,9,9,100.0,9,100.0,296,29.6,0.010101417545229197,0.0010101417545229196,0.0012217303737998009,0.00012217303737998008,0.013927994295954704,0.0013927994295954704,0.011047637555748224,0.0011047637555748225,16.152697744313627,1.6152697744313627,0.036298779770731926,0.0036298779770731924,16.189708094112575,1.6189708094112576,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 1, ""6"": 9}"
bernoulli,50,10,0.9,,10,10,0,0.0,0,0.0,7,70.0,0,0.0,10,100.0,0,0.0,0,0,,0,,146,14.6,0.004311073571443558,0.0004311073571443558,0.0008960776031017303,8.960776031017304e-05,0.005753357894718647,0.0005753357894718647,0.000928749330341816,9.287493303418159e-05,0.0,0.0,0.011889258399605751,0.001188925839960575,0.011981974355876446,0.0011981974355876445,"{""-1"": 0, ""2"": 3, ""3"": 7, ""4"": 0, ""5"": 0, ""6"": 0}"
bernoulli,100,5,0.1,,10,10,10,100.0,10,100.0,10,100.0,10,100.0,0,0.0,0,0.0,10,0,0.0,0,0.0,50,5.0,0.0030316459015011787,0.0003031645901501179,0.0005723182111978531,5.7231821119785306e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.003603964112699032,0.0003603964112699032,0.0036540022119879723,0.0003654002211987972,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 10, ""5"": 0, ""6"": 0}"
bernoulli,100,5,0.3,,10,10,10,100.0,10,100.0,10,100.0,10,100.0,0,0.0,0,0.0,10,0,0.0,0,0.0,50,5.0,0.00402962788939476,0.000402962788939476,0.0006376253440976143,6.376253440976143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004667253233492374,0.00046672532334923744,0.0047254133969545364,0.00047254133969545367,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 10, ""5"": 0, ""6"": 0}"
bernoulli,100,5,0.5,,10,10,10,100.0,10,100.0,10,100.0,10,100.0,0,0.0,0,0.0,10,0,0.0,0,0.0,50,5.0,0.004313038662075996,0.00043130386620759964,0.0006173029541969299,6.173029541969299e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.004930341616272926,0.0004930341616272927,0.004981887526810169,0.0004981887526810169,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 10, ""5"": 0, ""6"": 0}"
bernoulli,100,5,0.7,,10,10,10,100.0,0,0.0,10,100.0,10,100.0,0,0.0,10,100.0,10,10,100.0,0,0.0,94,9.4,0.004791136831045151,0.0004791136831045151,0.0007785037159919739,7.785037159919738e-05,0.0015044016763567924,0.00015044016763567924,0.0014821859076619148,0.00014821859076619148,0.15937197301536798,0.0159371973015368,0.008556228131055832,0.0008556228131055832,0.16800632514059544,0.016800632514059544,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 10}"
bernoulli,100,5,0.9,,10,10,1,10.0,0,0.0,10,100.0,4,40.0,10,100.0,4,40.0,1,1,100.0,1,100.0,69,6.9,0.003246440552175045,0.0003246440552175045,0.0006183674558997154,6.183674558997154e-05,0.001339511014521122,0.0001339511014521122,0.0010120021179318428,0.00010120021179318427,0.05366465821862221,0.005366465821862221,0.006216321140527725,0.0006216321140527725,0.06230331677943468,0.006230331677943468,"{""-1"": 0, ""2"": 0, ""3"": 6, ""4"": 0, ""5"": 3, ""6"": 1}"
bernoulli,100,10,0.1,,10,10,10,100.0,10,100.0,10,100.0,10,100.0,0,0.0,0,0.0,10,0,0.0,0,0.0,100,10.0,0.0059295338578522205,0.000592953385785222,0.0008538942784070969,8.538942784070968e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.006783428136259317,0.0006783428136259318,0.006836689542979002,0.0006836689542979002,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 10, ""5"": 0, ""6"": 0}"
