schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,m_requested,m_effective,min_row_size_requested,row_size_distribution,row_size_support,row_size_probs,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,25,10,100,1482767248,10,conj,glucose42,MT19937-RandomState,0.00037104077637195587,0011000010100000000000010100111010010000000100010000010001100100110000000000010000011000001000010100000010000000000000100100000000000001000000000000100000100101000100001001011100001001000000101010000100000100010101001000000100010100101100000010100010,0159ed8059b3b9466f878956213813491a432e23823c5bf172d0d6af4044afbc,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003858814015984535,7.016211748123169e-05,0.00031753815710544586,0.0,0.0,0.0007831146940588951,0.0007735816761851311,19,461,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0031939642503857613
4,25,10,100,1482767248,11,conj,glucose42,MT19937-RandomState,0.0003859177231788635,0100010000110010000000011010000000010100001000100100000010000000000100001110010010000101000011000000000100110001100000001000001110000100000000010110100000100100000000100010000100010000100000101010100001010110000010010000000000010000000100001000110100,220830cbc435d7a41ad14398bd52c04acf60bfc01b4d9a418f882a00c5e0c650,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003268672153353691,6.649456918239594e-05,0.0007793521508574486,0.0,0.0,0.0011808434501290321,0.0011727139353752136,16,358,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0040918756276369095
4,25,10,100,1482767248,12,conj,glucose42,MT19937-RandomState,0.00034731999039649963,0001111000001000000000010100100100100010100100001000001000000000000100000100110100001000101110010000001000100000010000101001000001011000100000000110101010001000000100000001000110000111001000111000000001000000000011001100010001100000000110110001000001,3ee1b9809207cc6ec47480334d091d42925f8656b653b9ef1ac8ef9e282b7116,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00039857346564531326,7.468834519386292e-05,0.0010240646079182625,0.0011102380231022835,0.015689742751419544,0.018305364064872265,0.002607564441859722,20,494,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,980,3625,0,1,1,0,0,0,0,1,1,1,0,0,0.005032309330999851
4,25,10,100,1482767248,13,conj,glucose42,MT19937-RandomState,0.0003935620188713074,0000110000000000010010010001101101001000100000000000110000101010011000010000000000100001100010011000000110001001000000001000000000000001000000100001010100000100010010000001000000000100001011010000000010001101001010010100000000010110001000101100001000,5c7c6105c48cd35e3dc5aa967db465f0baf1dc20f5f3c76468afe601e78f08f7,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003434671089053154,7.26655125617981e-05,0.0009409105405211449,0.001050102524459362,0.005483347922563553,0.007899485528469086,0.0024071456864476204,18,346,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,912,3282,0,1,1,0,0,0,0,1,1,1,0,0,0.004463617689907551
4,25,10,100,1482767248,14,conj,glucose42,MT19937-RandomState,0.0003643343225121498,0110000000000000010001001000000100001000110000010000000001000100000000101110000000101000011000000100100000101000100000000000000100001001101000000100001000010000000001001010000001001100000100010001001100001000100010001101000001000010011000010010000100,cbade4a7bef1a81e2efefea100229f7e621a6c6da6fb40a84f3fadf33bdcfed3,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00031045544892549515,6.0860998928546906e-05,7.524341344833374e-05,0.0,0.0,0.00045395269989967346,0.0004465598613023758,17,338,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.0023755421862006187
4,25,10,100,1482767248,15,conj,glucose42,MT19937-RandomState,0.0003590453416109085,0010110000110000110000110000000100011100011000001100010100000101000110110100010001010100000000110100000001000000100000110101000000010100000000000110100100000000001000000000101000110000000010000000001000101001000000100000001000010100011011001000101100,e678ceb32b9bca56992b8449be25114ec5963ba84eb9fdc7ddc631c8f0401be7,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00036292336881160736,6.813276559114456e-05,0.0001700064167380333,0.0,0.0,0.0006085652858018875,0.0006010625511407852,19,304,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0.002627597190439701
4,25,10,100,1482767248,16,conj,glucose42,MT19937-RandomState,0.0003533754497766495,0100010100110110000010010000101000100000000101010100011000000000001000000000001110000000011100000000001000000001000100000001001001100000010010100001000100000010100010100000001000110100010101001001010110110000001001100000000001010011000011000000001110,c317839c0769894e2e4c92eeabe1ccff940835e6562cb9220a9167db17898f6c,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.0003963299095630646,6.953999400138855e-05,0.0009415838867425919,0.0010841898620128632,0.00505778007209301,0.0075560761615633965,0.002491643652319908,19,597,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,931,3437,0,1,1,0,0,0,0,1,1,1,0,0,0.005109659396111965
4,25,10,100,1482767248,17,conj,glucose42,MT19937-RandomState,0.00037566572427749634,0000001010010000101100000010100001010001000000110001001010000000100000000101000100010001100000001000000100100001011100000100100000000100000100100000010000100000100010100000000001010001000000001000000011011000001010010000000000001001001000100000010000,6ddbafce0d810a1c6052da74f85028b8ed1bbb156425d58cbdfb41ec0adb6873,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00033614132553339005,6.178580224514008e-05,0.0008225291967391968,0.001074180006980896,0.005457022227346897,0.007758930325508118,0.002294636331498623,16,544,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,734,2818,0,1,1,0,0,0,0,1,1,1,0,0,0.004739586263895035
4,25,10,100,1482767248,18,conj,glucose42,MT19937-RandomState,0.00038511864840984344,1000001000010010100100000100000000100100100000000000110001100000001010000100100100000001100100000010001010001000110100100010001110001010000001100000001100010000000001000001001000010001010000000101100000001000000001010010001110000000001100001100001000,22580a6fbc6b0814a2ff6ce349464c74c9dad2e5e9dcc740beb65b5fb0dc7e6c,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00039121881127357483,7.927045226097107e-05,0.0011146580800414085,0.001077406108379364,0.009270117618143559,0.01194193959236145,0.0026625534519553185,23,495,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,1127,4189,0,1,1,0,0,0,0,1,1,1,0,0,0.0052750250324606895
4,25,10,100,1482767248,19,conj,glucose42,MT19937-RandomState,0.0003785742446780205,1010000000001001000100100000000010000010001001000100000010000011000011011000100110010100000001110000000000010110000000001001010100011001000000100000000100000000110010000000010000110000100000100000001000100100101000000011000000011001000000011101010000,0f499068de875e0c8a031d0a83aad46f024d06f2bc50620fd54b30f968893cad,row_sparsity,row_sparsity|conj|3ccb84496a|rng=MT19937-RandomState,,4,4,1,uniform,1;2;3;4,0.25;0.25;0.25;0.25,0.00037671998143196106,7.164385169744492e-05,0.0009274445474147797,0.0011124210432171822,0.005526256747543812,0.008023102767765522,0.002488229423761368,18,538,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,842,3205,0,1,1,0,0,0,0,1,1,1,0,0,0.004812181927263737
